SD_System,SD_Sub_System,SD_System_Name,SD_Subsystem_Name,discipline,TOTAL ITEM,TOTAL DONE,TOTAL PENDING,TOTAL PUNCH,TOTAL CLEAR PUNCH,TOTAL NOT CLEAR PUNCH,TOTAL HOLD POINT
1000,1000-01,Gas Preparation,Natural Gas and Desulphurization,IN,195,61,0,131,38,93,34
1000,1000-01,Gas Preparation,Natural Gas and Desulphurization,PI,24,13,0,61,21,40,28
1000,1000-01,Gas Preparation,Natural Gas and Desulphurization,MES,5,2,0,38,0,38,0
1000,1000-02,Gas Preparation,Fuel Gas & Distribution,MES,1,1,0,6,0,6,0
1000,1000-02,Gas Preparation,Fuel Gas & Distribution,PI,12,10,0,24,18,6,3
1000,1000-02,Gas Preparation,Fuel Gas & Distribution,IN,176,39,0,119,26,93,11
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,MES,13,2,0,41,2,39,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,MER,9,0,0,0,0,0,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,EL,3,2,0,12,2,10,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,IN,351,128,0,116,51,65,107
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,PI,56,46,0,168,90,78,57
1000,1000-04,Gas Preparation,Gas Station,IN,66,21,0,0,0,0,21
120,120-01,Electrical Distribution Substation,6kV SWITCHBOARD SS-SWB2A/B-01,EL,185,63,0,1526,1075,451,2
120,120-02,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-01,EL,367,47,0,1995,1199,796,31
120,120-03,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-02,EL,337,2,0,1600,1098,502,44
120,120-04,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-03,EL,306,13,0,1141,773,368,42
120,120-05,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-04,EL,284,14,0,1174,791,383,32
120,120-06,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-05,EL,262,18,0,1167,804,363,11
120,120-07,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-ESWB3A/B-01,EL,158,0,0,491,298,193,134
120,120-08,Electrical Distribution Substation,Emergency Diesel Generator SS-DG-5701,EL,8,0,0,0,0,0,7
120,120-09,Electrical Distribution Substation,CR-UPS-01 for Instrument Supply 190/110 AC UPS,EL,29,14,0,85,11,74,0
120,120-09,Electrical Distribution Substation,CR-UPS-01 for Instrument Supply 190/110 AC UPS,IN,2,2,0,6,2,4,0
120,120-10,Electrical Distribution Substation,SS-CH-01 for Electrical Supply 110V DC,EL,24,5,0,167,46,121,0
120,120-11,Electrical Distribution Substation,SS-UPS-01 for Safety Lighting Supply 230 AC UPS,EL,18,0,0,70,12,58,0
120,120-12,Electrical Distribution Substation,SS PDCS System,EL,10,2,0,15,3,12,2
120,120-13,Electrical Distribution Substation,Cathodic Protection System,EL,373,373,0,482,474,8,0
120,120-14,Electrical Distribution Substation,Electric Heat Tracing System,EL,3,0,0,0,0,0,3
120,120-15,Electrical Distribution Substation,Capacitor Bank,EL,5,5,0,42,18,24,0
120,120-16,Electrical Distribution Substation,MV Transformer,EL,12,12,0,50,50,0,0
120,120-17,Electrical Distribution Substation,LV Transformer,EL,15,15,0,104,104,0,0
120,120-18,Electrical Distribution Substation,E/I Cabinet,EL,16,16,0,54,44,10,0
120,120-18,Electrical Distribution Substation,E/I Cabinet,IN,16,16,0,12,12,0,0
2000,2000-01,Reforming,Pre Reforming,EL,2,2,0,12,0,12,0
2000,2000-01,Reforming,Pre Reforming,MES,2,2,0,10,0,10,0
2000,2000-01,Reforming,Pre Reforming,PI,8,8,0,19,9,10,1
2000,2000-01,Reforming,Pre Reforming,IN,92,17,0,18,2,16,11
2000,2000-02,Reforming,Primary Reforming,PI,9,6,0,25,11,14,1
2000,2000-02,Reforming,Primary Reforming,IN,873,150,0,570,48,522,77
2000,2000-02,Reforming,Primary Reforming,MES,8,0,0,0,0,0,0
2000,2000-03,Reforming,Process Oxygen and Secondary Reformer,PI,25,10,0,45,23,22,79
2000,2000-03,Reforming,Process Oxygen and Secondary Reformer,IN,363,87,0,187,53,134,50
2000,2000-03,Reforming,Process Oxygen and Secondary Reformer,MES,6,2,0,0,0,0,2
2000,2000-04,Reforming,Steam Generation & Superheated Steam,MES,11,2,0,40,0,40,0
2000,2000-04,Reforming,Steam Generation & Superheated Steam,MER,2,0,0,12,0,12,0
2000,2000-04,Reforming,Steam Generation & Superheated Steam,PI,24,21,0,58,23,35,17
2000,2000-04,Reforming,Steam Generation & Superheated Steam,IN,231,75,0,205,26,179,45
2000,2000-05,Reforming,Gas Cooling and Separation,MES,7,5,0,72,20,52,0
2000,2000-05,Reforming,Gas Cooling and Separation,IN,229,95,0,125,86,39,86
2000,2000-05,Reforming,Gas Cooling and Separation,PI,38,30,0,129,63,66,15
2000,2000-05,Reforming,Gas Cooling and Separation,MER,4,0,0,6,0,6,0
