SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,HP_Priority,HP_Description,HP_Location
TEL-11,EL,00-CAM-01,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-02,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-03,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-04,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-05,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-06,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-07,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-08,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-09,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-10,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-11,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-12,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-13,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-14,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-15,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-16,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-17,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-18,CCTV,,Hold (Matrial Shortage),Material Shortage
LS-02,EL,00-ELP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
120-14,EL,00-HTP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
120-14,EL,00-HTP-02,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
120-14,EL,00-HTP-03,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
LS-01,EL,00-LP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
LS-01,EL,00-RP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
LS-01,EL,00-SLP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46042 0004TN|TIE IN JOINT|PUNCH B,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46042 0005TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46042 0007TN|TIE IN JOINT|PUNCH B,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46042 0008TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46042 0010TN|TIE IN JOINT|PUNCH B,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46042 0011TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-01-209,PI_TP,,ISO-46039  893003Q-1.1/2   1PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-02-407,PI_TP,,ISO-50017 0011ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-02-407,PI_TP,,ISO-50017 0011BTN|AT-2531|AT-2531,HOLD EQUIPMENT
1000-01,PI,1000-01-NG-04-774,PI_TP,,ISO-12032 0009TN|HOLD MATERIAL|47022QD-2,HOLD MATERIAL
1000-01,PI,1000-01-NG-04-774,PI_TP,,ISO-22051 0027TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-04-774,PI_TP,,ISO-12032  47022QD-2   1PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-22800  200104F-8   2PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-22800  300223F-8   5PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-50041  251004Q-8   1PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-15800 0004TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-15800  B7-2H-GALV-5/8x90   4PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-22066  B7-2H-GALV-5/8x90   4PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-NG-10-1008,PI_TP,,ISO-22800  B7-2H-GALV-5/8x90   4PCS,MATERIAL SHORTAGE
1000-01,PI,1000-01-OW-03-722,PI_TP,,ISO-46075 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-OW-03-722,PI_TP,,ISO-46075 0010TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-PRG-01-450,PI_TP,,ISO-46058 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-PRG-01-450,PI_TP,,ISO-46058 0010TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-PRG-04-647,PI_TP,,ISO-46038 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-PRG-04-647,PI_TP,,ISO-46064 0008TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-PRG-04-647,PI_TP,,ISO-46064 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-01,PI,1000-01-PRG-04-647,PI_TP,,ISO-46038  893003Q-1.1/2   1PCS,MATERIAL SHORTAGE
1000-02,PI,1000-02-FG-01-406,PI_TP,,ISO-51028  USV-2543   1PCS,MATERIAL SHORTAGE
1000-02,PI,1000-02-FG-01-406,PI_TP,,ISO-51028 0003|HOLD MATERIAL|USV-2543-2,HOLD MATERIAL
1000-02,PI,1000-02-NG-01-1051,PI_TP,,ISO-10800 0001TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-02-410,PI_TP,,ISO-45003 0062|HOLD MATERIAL|USV-6081-2,HOLD MATERIAL
1000-03,PI,1000-03-BD-02-410,PI_TP,,ISO-45003  USV-6081   1PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-BD-09-796,PI_TP,,ISO-45021 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-09-796,PI_TP,,ISO-45021 0001TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45008 0017TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45008 0030TN|HOLD MATERIAL|8313U1Q-6,HOLD MATERIAL
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45008 0031TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45009 0007TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45009 0021TN|HOLD MATERIAL|8313U1Q-6,HOLD MATERIAL
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45009 0022TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45008  8313U1Q-6   1PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-BD-10-1010,PI_TP,,ISO-45009  8313U1Q-6   1PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-MPC-09-1011,PI_TP,,ISO-45077 0001ATN|HOLD REAINSTATMENT|PUNCH C,HOLD SEQ.
1000-03,PI,1000-03-MPC-09-1011,PI_TP,,ISO-45078 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-01-237,PI_TP,,ISO-14080 0007|HOLD REAINSTATMENT|PUNCH C,HOLD SEQ.
1000-03,PI,1000-03-PRC-01-237,PI_TP,,ISO-14080 0010|HOLD REAINSTATMENT|PUNCH C,HOLD SEQ.
1000-03,PI,1000-03-PRC-01-237,PI_TP,,ISO-45025 0016TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-01-237,PI_TP,,ISO-14080  B7-2H-GALV-1.3/8x386   12PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-PRC-05-408,PI_TP,,ISO-45005 0014|HOLD MATERIAL|USV-6082-4,HOLD MATERIAL
1000-03,PI,1000-03-PRC-05-408,PI_TP,,ISO-45005  USV-6082   1PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128  FE-6059   2PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0001TN|HOLD MATERIAL|ORF-900.RT-4,HOLD MATERIAL
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0002TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0003TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0004TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0006TN|HOLD MATERIAL|ORF-900.RT-4,HOLD MATERIAL
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0007TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0008TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45050 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45050 0004TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45050 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45051 0010TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45051 0013ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45052 0011TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45052 0014ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45053 0011TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45053 0014ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45123 0018TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45124 0017TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45124 0021TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45125 0029TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45125 0033TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45126 0017TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45126 0020ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0010TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0013ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0013TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0018TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0021ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0021TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRG-01-382,PI_TP,,ISO-14088  B7-2H-GALV-1.5/8x270   20PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-PRG-02-842,PI_TP,,ISO-14087  B7-2H-GALV-1.5/8x270   20PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-VA-01-447,PI_TP,,ISO-45140 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-VA-01-447,PI_TP,,ISO-45141 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
