SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,ITEM_Description,ITEM_Status
NO SUBS.,PI,,PI_TP,PIPING TEST PACKAGE,Not Yet Activity
NO SUBS.,PI,-,PI_TP,,Not Yet Activity
TEL-11,EL,00-CAM-01,CCTV,CCTV,0%
TEL-11,EL,00-CAM-02,CCTV,CCTV,0%
TEL-11,EL,00-CAM-03,CCTV,CCTV,0%
TEL-11,EL,00-CAM-04,CCTV,CCTV,0%
TEL-11,EL,00-CAM-05,CCTV,CCTV,0%
TEL-11,EL,00-CAM-06,CCTV,CCTV,0%
TEL-11,EL,00-CAM-07,CCTV,CCTV,0%
TEL-11,EL,00-CAM-08,CCTV,CCTV,0%
TEL-11,EL,00-CAM-09,CCTV,CCTV,0%
TEL-11,EL,00-CAM-10,CCTV,CCTV,0%
TEL-11,EL,00-CAM-11,CCTV,CCTV,0%
TEL-11,EL,00-CAM-12,CCTV,CCTV,0%
TEL-11,EL,00-CAM-13,CCTV,CCTV,0%
TEL-11,EL,00-CAM-14,CCTV,CCTV,0%
TEL-11,EL,00-CAM-15,CCTV,CCTV,0%
TEL-11,EL,00-CAM-16,CCTV,CCTV,0%
TEL-11,EL,00-CAM-17,CCTV,CCTV,0%
TEL-11,EL,00-CAM-18,CCTV,CCTV,0%
LS-02,EL,00-ELP-01,PANEL(EL),Area Emergency Lighting Panel,0%
LS-02,EL,00-ELP-02,PANEL(EL),Area Emergency Lighting Panel,DONE
LS-02,EL,00-ELP-03,PANEL(EL),Area Emergency Lighting Panel,DONE
LS-02,EL,00-ELP-04,PANEL(EL),Area Emergency Lighting Panel,DONE
120-14,EL,00-HTP-01,PANEL(EL),Heat Tracing Panel,0%
120-14,EL,00-HTP-02,PANEL(EL),Heat Tracing Panel,0%
120-14,EL,00-HTP-03,PANEL(EL),Heat Tracing Panel,0%
LS-01,EL,00-LP-01,PANEL(EL),Area Normal Lighting Panel,0%
LS-01,EL,00-LP-02,PANEL(EL),Area Normal Lighting Panel,DONE
LS-01,EL,00-LP-03,PANEL(EL),Area Normal Lighting Panel,DONE
LS-01,EL,00-LP-04,PANEL(EL),Area Normal Lighting Panel,DONE
LS-01,EL,00-RP-01,PANEL(EL),Area Receptacle Panel,0%
LS-01,EL,00-RP-02,PANEL(EL),Area Receptacle Panel,DONE
LS-01,EL,00-RP-03,PANEL(EL),Area Receptacle Panel,DONE
LS-01,EL,00-RP-04,PANEL(EL),Area Receptacle Panel,DONE
LS-01,EL,00-SLP-01,PANEL(EL),Street Lighting Panel,0%
LS-04,EL,01-EJB-1,Lighting Main JB,Emergency Lighting Junction Box,0%
LS-04,EL,01-EJB1-1-L1-01,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-05,EL,01-EJB1-1-L1-02,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-04,EL,01-EJB1-1-L2-01,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,50%
LS-05,EL,01-EJB1-1-L2-02,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-04,EL,01-EJB1-1-L3-01,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,50%
LS-05,EL,01-EJB1-1-L3-02,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- EX,0%
LS-03,EL,01-EJB2-2,Lighting Main JB,Emergency Lighting Junction Box,DONE
LS-03,EL,01-EJB2-2-FJB,Lighting Cable,Emergency Lighting Junction Box,DONE
LS-03,EL,01-EJB2-2-L1-01,Lighting Fixture,Bulkhead Lighting Fixture 30w| WP,DONE
LS-03,EL,01-EJB2-2-L1-02,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
NO SUBS.,EL,01-EJB2-2-L1-03,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-03,EL,01-EJB2-2-L1-04,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-EJB2-2-L2-01,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-EJB2-2-L2-02,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-EJB2-2-L2-03,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
NO SUBS.,EL,01-EJB2-2-L2-04,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-03,EL,01-EJB2-2-L3-01,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
LS-03,EL,01-EJB2-2-L3-02,Lighting Fixture,Bulkhead Lighting Fixture 40w| EX,DONE
NO SUBS.,EL,01-EJB2-2-L3-03,Lighting Fixture,Bulkhead Lighting Fixture Energy Saving Lamp 30w- WP,0%
LS-04,EL,01-JB-1,Lighting Main JB,Normal Lighting Junction Box,0%
