SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
LS-02,EL,00-ELP-02,PANEL(EL),A,ارت تجهيز نصب شود,PL-05593
LS-02,EL,00-ELP-02,PANEL(EL),B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05594
LS-02,EL,00-ELP-02,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05595
LS-02,EL,00-ELP-02,PANEL(EL),A,سربندي تجهيز انجام شود,PL-05596
LS-02,EL,00-ELP-03,PANEL(EL),A,ارت تجهيز نصب شود,PL-05605
LS-02,EL,00-ELP-03,PANEL(EL),B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05606
LS-02,EL,00-ELP-03,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05607
LS-02,EL,00-ELP-03,PANEL(EL),A,+سربندي تجهيز انجام شود,PL-05608
LS-02,EL,00-ELP-04,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05619
LS-02,EL,00-ELP-04,PANEL(EL),C,گروت ريزي ساپورت تجهيز انجام شود,PL-05621
LS-01,EL,00-LP-02,PANEL(EL),A,ارت تجهيز نصب شود,PL-05597
LS-01,EL,00-LP-02,PANEL(EL),B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05598
LS-01,EL,00-LP-02,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05599
LS-01,EL,00-LP-02,PANEL(EL),A,سربندي تجهيز انجام شود,PL-05600
LS-01,EL,00-LP-03,PANEL(EL),A,ارت تجهيز نصب شود,PL-05609
LS-01,EL,00-LP-03,PANEL(EL),B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05610
LS-01,EL,00-LP-03,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05611
LS-01,EL,00-LP-03,PANEL(EL),A,سربندي تجهيز انجام شود,PL-05612
LS-01,EL,00-LP-04,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05625
LS-01,EL,00-LP-04,PANEL(EL),C,گروت ريزي ساپورت تجهيز انجام شود,PL-05627
LS-01,EL,00-RP-02,PANEL(EL),A,ارت تجهيز نصب شود,PL-05601
LS-01,EL,00-RP-02,PANEL(EL),B,پليسه گيري و تاچ آپ سه لايه ساپورت انجام شود,PL-05602
LS-01,EL,00-RP-02,PANEL(EL),C,Preservation  تجهيز انجام شود,PL-05603
