SD_Sub_System,SD_Subsystem_Name,SD_Priority_Code,ITEM_Sub_System,Total_Issued,Total_Released,Remaining,Issued_Yesterday,Issued_Last_7_Days,Issued_Last_30_Days,Released_Yesterday,Released_Last_7_Days,Released_Last_30_Days
1000-01,Natural Gas and Desulphurization,اولويت شهريور,1000-01,227,58,169,0,11,81,0,3,36
1000-02,Fuel Gas & Distribution,اولويت شهريور,1000-02,149,42,107,0,0,77,0,0,22
1000-03,Natural Gas Saturation & Condensate,اولويت شهريور,1000-03,337,143,194,0,0,59,0,25,77
1000-04,Gas Station,اولويت شهريور,Unknown,0,0,0,0,0,0,0,0,0
120-01,6kV SWITCHBOARD SS-SWB2A/B-01,,120-01,1526,1075,451,0,0,282,0,0,242
120-02,0-4KV SWITCHBOARD SS-SWB3A/B-01,,120-02,1995,1199,796,0,0,412,0,0,383
120-03,0-4KV SWITCHBOARD SS-SWB3A/B-02,,120-03,1600,1098,502,0,0,159,0,0,456
120-04,0-4KV SWITCHBOARD SS-SWB3A/B-03,,120-04,1141,748,393,0,0,42,0,1,72
120-05,0-4KV SWITCHBOARD SS-SWB3A/B-04,,120-05,1174,764,410,0,0,81,0,0,105
120-06,0-4KV SWITCHBOARD SS-SWB3A/B-05,,120-06,1166,779,387,0,0,35,0,24,223
120-07,0-4KV SWITCHBOARD SS-ESWB3A/B-01,,120-07,491,298,193,0,0,0,0,0,77
120-08,Emergency Diesel Generator SS-DG-5701,,Unknown,0,0,0,0,0,0,0,0,0
120-09,CR-UPS-01 for Instrument Supply 190/110 AC UPS,,120-09,94,13,81,0,0,63,0,0,3
120-10,SS-CH-01 for Electrical Supply 110V DC,,120-10,167,46,121,0,0,31,0,0,46
120-11,SS-UPS-01 for Safety Lighting Supply 230 AC UPS,,120-11,70,12,58,0,0,29,0,0,2
120-12,SS PDCS System,,120-12,15,3,12,0,0,7,0,0,3
120-13,Cathodic Protection System,,120-13,482,474,8,0,0,10,0,2,12
120-14,Electric Heat Tracing System,,Unknown,0,0,0,0,0,0,0,0,0
120-15,Capacitor Bank,,120-15,42,14,28,0,0,42,0,0,14
120-16,MV Transformer,,120-16,50,50,0,0,0,0,0,5,5
120-17,LV Transformer,,120-17,104,104,0,0,0,0,0,22,22
120-18,E/I Cabinet,,120-18,102,92,10,0,0,8,0,0,8
2000-01,Pre Reforming,اولويت شهريور,2000-01,59,11,48,0,0,33,0,4,10
2000-02,Primary Reforming,اولويت شهريور,2000-02,594,59,535,0,349,474,0,1,54
2000-03,Process Oxygen and Secondary Reformer,اولويت شهريور,2000-03,232,76,156,0,0,95,0,10,71
2000-04,Steam Generation & Superheated Steam,اولويت شهريور,2000-04,311,48,263,0,12,165,0,0,36
2000-05,Gas Cooling and Separation,اولويت شهريور,2000-05,330,161,169,0,6,62,0,8,49
2000-06,Nitrogen Circuit,اولويت شهريور,2000-06,115,11,104,0,81,90,0,0,4
3000-01,Synthesis Gas Compression,اولويت شهريور,3000-01,504,29,475,0,419,428,0,0,7
3000-02,Methanol Synthesis,اولويت شهريور,3000-02,130,34,96,0,0,20,0,0,20
3000-03,Synthesis Gas Cooling,اولويت شهريور,3000-03,241,84,158,0,0,27,0,7,70
3000-04,Hydrogen System,اولويت شهريور,3000-04,336,9,327,0,275,299,0,4,9
4000-01,Nitrogen,اولويت شهريور,4000-01,47,28,19,0,0,5,0,0,2
4000-02,HHP & HP & LP Steam,اولويت شهريور,4000-02,327,133,194,0,11,69,0,6,85
4000-03,MP Steam,اولويت شهريور,4000-03,75,38,37,0,0,13,0,4,27
4000-04,Boiler Feed Water (BFW) Generation & Distribution,اولويت شهريور,4000-04,415,118,297,0,198,219,0,3,54
4000-05,Blow Down,اولويت شهريور,4000-05,58,18,40,0,0,16,0,0,8
4000-06,DM & Polishing Water & Neutralization System,اولويت شهريور,4000-06,218,92,126,0,0,53,0,1,21
4000-07,Plant Air,اولويت شهريور,4000-07,17,4,13,0,0,4,0,0,0
4000-08,Cooling Water,اولويت شهريور,4000-08,831,309,525,0,189,222,0,3,33
4000-09,Oily Water Treatment,اولويت شهريور,4000-09,41,17,24,0,2,5,0,0,1
4000-10,Sanitary Water Collection,اولويت شهريور,4000-10,11,1,10,0,1,7,0,0,1
4000-11,Instrument Air,اولويت شهريور,4000-11,87,31,56,0,0,15,0,0,2
4000-12,COC Water and Lab Chemical Sump,اولويت شهريور,4000-12,19,5,14,0,4,12,0,0,2
4000-13,Slope Close Drain,اولويت شهريور,4000-13,39,18,25,0,0,6,0,2,13
4000-14,Fire Water,اولويت شهريور,4000-14,267,88,180,0,0,1,0,13,27
4000-15,Potable & Service Water,,4000-15,96,35,61,0,11,20,0,22,22
5000-01,Crude Methanol and Stabilizer & Slope Methanol,اولويت شهريور,5000-01,765,434,331,0,12,37,0,4,136
5000-02,Low Pressure (LP) Methanol,اولويت شهريور,5000-02,654,355,299,0,0,99,0,7,110
5000-03,Medium Pressure (MP) Methanol,اولويت شهريور,5000-03,625,394,231,0,0,62,0,4,122
5000-04,Methanol Product,اولويت شهريور,5000-04,270,142,128,0,0,22,0,13,68
5000-05,Liquid Off Stream,اولويت شهريور,5000-05,60,31,29,0,12,14,0,0,13
7000-01,Flare System (In Site),اولويت شهريور,7000-01,155,64,92,0,5,44,0,2,34
BLD-01,Substation,,BLD-01,69,9,60,0,0,12,0,0,7
BLD-02,Control Building,,BLD-02,6,5,1,0,0,0,0,0,0
BLD-03,Laboratory,,Unknown,0,0,0,0,0,0,0,0,0
BLD-04,Security Building,,Unknown,0,0,0,0,0,0,0,0,0
BLD-05,Diesel Room,,Unknown,0,0,0,0,0,0,0,0,0
BLD-06,Warehouse Building,,BLD-06,31,3,28,0,0,31,0,1,3
BLD-07,Analyzer House,,BLD-07,19,1,18,0,0,19,0,0,1
DCS-01,Panels & Marshaling Cabinets,,DCS-01,1902,967,935,0,0,260,0,112,967
ES-01,Earthing & Roof Lightning System for Substation,,ES-01,2191,2190,1,0,0,1,0,0,54
ES-02,Earthing & Roof Lightning System for Control Building,,ES-02,417,417,0,0,0,417,0,0,417
ES-03,Earthing & Roof Lightning System for Laboratory & Yard Office,,ES-03,18,13,5,0,0,18,0,0,13
ES-04,Earthing & Roof Lightning System for Analyzer House,,ES-04,11,11,0,0,0,0,0,0,11
ES-05,Earthing & Roof Lightning System for Warehouse,,ES-05,45,45,0,0,0,1,0,1,45
ES-06,Earthing System for Area-02,,Unknown,0,0,0,0,0,0,0,0,0
ES-07,Earthing System for Area-03,,Unknown,0,0,0,0,0,0,0,0,0
ES-08,Earthing System for Area-04,,Unknown,0,0,0,0,0,0,0,0,0
ES-09,Earthing System for Area-05,,Unknown,0,0,0,0,0,0,0,0,0
ES-10,Earthing System for Area-06,,Unknown,0,0,0,0,0,0,0,0,0
ES-11,Earthing System for Area-07,,ES-11,507,507,0,0,0,507,0,0,507
FGS-01,Fire & Gas Detection for Fire Zone 1001,,Unknown,0,0,0,0,0,0,0,0,0
FGS-02,Fire & Gas Detection for Fire Zone 1002,,FGS-02,8,0,8,0,0,0,0,0,0
FGS-03,Fire & Gas Detection for Fire Zone 1003,,Unknown,0,0,0,0,0,0,0,0,0
FGS-04,Fire & Gas Detection for Fire Zone 1004,,FGS-04,4,1,3,0,0,0,0,0,1
FGS-05,Fire & Gas Detection for Fire Zone 1005,,Unknown,0,0,0,0,0,0,0,0,0
FGS-06,Fire & Gas Detection for Fire Zone 1006,,Unknown,0,0,0,0,0,0,0,0,0
FGS-07,Fire & Gas Detection for Fire Zone 1007,,Unknown,0,0,0,0,0,0,0,0,0
FGS-08,Fire & Gas Detection for Substation,,FGS-08,253,0,253,0,0,8,0,0,0
FGS-09,Fire & Gas Detection for Control Building,,FGS-09,393,212,181,0,0,4,0,0,212
FGS-10,Fire & Gas Detection for Laboratory,,Unknown,0,0,0,0,0,0,0,0,0
HVAC-01,HVAC for Substation,,Unknown,0,0,0,0,0,0,0,0,0
HVAC-02,HVAC for Control Building,,Unknown,0,0,0,0,0,0,0,0,0
HVAC-03,HVAC for Laboratory & Yard Office,,Unknown,0,0,0,0,0,0,0,0,0
HVAC-04,HVAC for Analyzer House,,Unknown,0,0,0,0,0,0,0,0,0
LS-01,SS-MLP-01 for Normal Lighting System,,LS-01,87,47,40,0,0,0,0,2,2
LS-02,SS-EMLP-01 for Emergency Lighting System,,LS-02,61,38,23,0,0,0,0,1,7
LS-03,Lighting System for Substation,,LS-03,1707,1699,8,0,0,8,0,0,0
LS-04,Lighting System for Control Building,,LS-04,57,0,57,0,0,57,0,0,0
LS-05,Lighting System for Laboratory & Yard Office,,Unknown,0,0,0,0,0,0,0,0,0
LS-06,Lighting System for Street,,LS-06,26,11,15,0,0,0,0,0,0
LS-07,Lighting System for Area-02,,LS-07,1,0,1,0,0,0,0,0,0
LS-08,Lighting System for Area-03,,LS-08,192,108,84,0,0,0,0,0,0
LS-09,Lighting System for Area-04,,LS-09,309,171,138,0,0,0,0,98,104
LS-10,Lighting System for Area-05,,LS-10,268,0,268,0,0,0,0,0,0
LS-11,Lighting System for Area-06,,LS-11,362,217,145,0,0,0,0,0,0
LS-12,Lighting System for Area-07,,LS-12,362,196,166,0,0,0,0,19,19
LS-14,Lighting System for Analyzer House,,LS-14,182,145,37,0,0,7,0,3,3
NO SUBS.,UNKNOW_SUBSYSTEM,,NO SUBS.,24,0,24,0,24,24,0,0,0
TEL-01,Telecom System for Area-01,,TEL-01,4,0,4,0,0,4,0,0,0
TEL-02,Telecom System for Area-02,,TEL-02,4,0,4,0,0,0,0,0,0
TEL-03,Telecom System for Area-03,,Unknown,0,0,0,0,0,0,0,0,0
TEL-04,Telecom System for Area-04,,Unknown,0,0,0,0,0,0,0,0,0
TEL-05,Telecom System for Area-05,,Unknown,0,0,0,0,0,0,0,0,0
TEL-06,Telecom System for Area-06,,TEL-06,10,4,6,0,0,0,0,0,4
TEL-07,Telecom System for Area-07,,TEL-07,129,75,54,0,0,2,0,18,75
TEL-08,Telecom System for Substation,,TEL-08,39,6,33,0,0,0,0,6,6
TEL-09,Telecom System for Control Building,,TEL-09,17,5,12,0,0,0,0,0,5
TEL-10,Telecom System for Laboratory,,Unknown,0,0,0,0,0,0,0,0,0
TEL-11,CCTV,,Unknown,0,0,0,0,0,0,0,0,0
TEL-12,Telecom System for Analyzer House,,TEL-12,7,0,7,0,0,3,0,0,0
